Location,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Mixed Use,Existing Units,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
229 ELM ST,85-35,85,35,2182,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3721990031, -71.096061327900003)"
69R GORE ST,21-49,21,49,1200,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372151579399898, -71.080804388000004)"
20 HOLYOKE ST,160-83,160,83,1016,325,Commercial,RETAIL-STORE, ,0, , , , ,"(42.372293197200001, -71.118222438800004)"
2 GORE STREET PL,23-2,23,2,1354,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3721552559999, -71.084058050699895)"
96 WILLOW ST,80-60,80,60,3204,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.372162951500002, -71.092314201199898)"
12 PLYMPTON ST,133-56,133,56,524,337,Transportation,PARKING-LOT, ,0, , , , ,"(42.372298291, -71.116483072600005)"
63 MT AUBURN ST,160-30,160,30,14347,942,Higher Education,Private College, ,0, , , ,Educ NonTax,"(42.372101395400001, -71.117700980400002)"
238 ELM ST,80-18,80,18,5033,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.3721444723, -71.095612877899896)"
106 INMAN ST,110-8,110,8,7500,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372127398700002, -71.101100955800007)"
126-130 GORE ST,23-4,23,4,10000,111,Residential,4-8-UNIT-APT, ,8, , , , ,"(42.372054681199899, -71.083845633099898)"
61B GORE ST,21-80,21,80,1500,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372144605300001, -71.080566615099897)"
655 CAMBRIDGE ST,35-59,35,59,1176,140,Commercial,CHILD-CARE, ,0, , , , ,"(42.372141701499899, -71.087234356400003)"
170 COOLIDGE HILL,242A-158,242A,158,13993,1014,Residential,SINGLE FAM W/AU, ,2, , , , ,"(42.372153030900002, -71.138024937699896)"
7 SIXTH ST,35-73,35,73,3763,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3721197542, -71.084914157699899)"
154 COOLIDGE HILL,242A-116,242A,116,16934,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372146593499899, -71.138770314799899)"
4 CARLISLE ST,84-45,84,45,2640,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372136569399899, -71.097876742699896)"
5 ELLERY SQ,135-129,135,129,825,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372238939900001, -71.109302692300005)"
84 ANTRIM ST,114A-54,114A,54,3931,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372147026699899, -71.102176301300005)"
19 PALERMO ST,80-94,80,94,2701,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.3720918564999, -71.092924906299899)"
464 WINDSOR ST,80-70,80,70,3869,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.372127478700001, -71.0932753547999)"
45 DUNSTER ST,162-67,162,67,7528,345,Office,RETAIL-OFFIC, ,0, , , , ,"(42.372141119799899, -71.119635065400004)"
61A GORE ST,21-79,21,79,930,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372109561899897, -71.080446092000003)"
645 CAMBRIDGE ST,35-60,35,60,1762,105,Mixed Use Residential,MXD THREE-FM-RE,groundfloor,3, , , , ,"(42.372119584099899, -71.087127163000005)"
12 A PLYMPTON ST,133-54,133,54,507,337,Transportation,PARKING-LOT, ,0, , , , ,"(42.372261998600003, -71.116500712600001)"
146 BERKSHIRE ST,37-12,37,12,9427,112,Mixed Use Residential,MXD >8-UNIT-APT,groundfloor,27, , ,YES, ,"(42.372047731000002, -71.089614508099899)"
61 GORE ST,21-78,21,78,3670,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3719889338999, -71.080416451800005)"
22 HOLYOKE ST,160-84,160,84,960,325,Commercial,RETAIL-STORE, ,0, , , , ,"(42.372245855899898, -71.118254190200005)"
45-49 MAGAZINE ST,104-155,104,155,4996,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.362789319599898, -71.107345235599894)"
15 ELLERY SQ,135-139,135,139,772,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372150969899899, -71.109707955199895)"
55 GORE ST,21-42,21,42,3800,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.371985231700002, -71.0801670650999)"
42 TROWBRIDGE ST,135-41,135,41,18010,111,Residential,4-8-UNIT-APT, ,4, , ,YES, ,"(42.371992534100002, -71.1112588778999)"
118R INDUSTRIAL PARK WAY,1A-67,1A,67,255800,400,Industrial,MANUFACTURNG, ,0, , , , ,"(42.3710197597999, -71.067174615499894)"
740 CAMBRIDGE ST,37-14,37,14,3149,104,Mixed Use Residential,MXD TWO-FAM-RES,groundfloor,2, , , , ,"(42.3719880218, -71.089310738799895)"
92 WILLOW ST,80-61,80,61,2125,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372080998000001, -71.092357761000002)"
3 GORE STREET PL,23-24,23,24,2606,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372041850599899, -71.084241596499893)"
45 DANA ST,135-50,135,50,7867,112,Residential,>8-UNIT-APT, ,10, , , , ,"(42.372060429599898, -71.109097409200004)"
63 GORE ST,21-113,21,113,1330,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372059477199898, -71.080606211800003)"
24 HOLYOKE ST,160-76,160,76,1884,326,Commercial,EATING-ESTBL, ,0, , , , ,"(42.3721727812, -71.118293999599899)"
51 ELLERY ST,135-34,135,34,7500,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3720637805, -71.110586985599895)"
71 GORE ST,21-51,21,51,1102,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3720307996999, -71.080917760800006)"
14 THIRD ST,20-18,20,18,1153,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3720668108, -71.079407325899894)"
7 ELLERY SQ,135-131,135,131,825,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372160300200001, -71.109352047399895)"
14 ELLERY SQ,135-138,135,138,872,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372125738000001, -71.109659075400003)"
738 CAMBRIDGE ST,37-15,37,15,3336,31,Mixed Use Commercial,MULTIUSE-COM,mixed,2, , , , ,"(42.3719632862, -71.089215957299899)"
51 GORE ST,21-41,21,41,3040,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.371966380499899, -71.080037177199898)"
1173-1201 MASSACHUSETTS AVE,134-1,134,1,30902,942,Higher Education,Private College, ,0, , , , ,"(42.371924540400002, -71.114721888999895)"
5 PALERMO ST,80-66,80,66,3859,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3720007792, -71.092630740100006)"
67 WINTHROP ST,162-47,162,47,2489,942,Higher Education,Private College, ,0, , , ,Educ NonTax,"(42.372123092000002, -71.120015354499898)"
732 CAMBRIDGE ST,37-114,37,114,5383,13,Mixed Use Residential,MULTIUSE-RES,mixed,2, , , , ,"(42.371838014600002, -71.089072817599899)"
167 HAMPSHIRE ST,84-69,84,69,3916,111,Residential,4-8-UNIT-APT, ,8, , , , ,"(42.3720301022, -71.098361032)"
69 GORE ST,21-48,21,48,1300,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372015025800003, -71.080836098800006)"
104A INMAN ST,110-103,110,103,3950,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372023571200003, -71.101142230799894)"
22 SEVENTH ST,35-96,35,96,1183,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372063094300003, -71.085311417699899)"
49 GORE ST,21-40,21,40,2375,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.371953883300002, -71.079930983799898)"
13 ELLERY SQ,135-137,135,137,1122,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3721401958, -71.1095844293)"
80 ANTRIM ST,114-53,114,53,2961,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372061354499898, -71.102239705800002)"
4 GORE STREET PL,23-3,23,3,1357,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372019593700003, -71.084095435699894)"
728 CAMBRIDGE ST,37-17,37,17,1898,104,Mixed Use Residential,MXD TWO-FAM-RES,groundfloor,2, , , , ,"(42.372013457999898, -71.089003623899899)"
47 GORE ST,21-39,21,39,2375,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.371938492399899, -71.079839994699896)"
222 ELM ST,80-17,80,17,5099,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.3720102521999, -71.095689945499899)"
148 COOLIDGE HILL,242A-115,242A,115,20738,1014,Residential,SINGLE FAM W/AU, ,2, , , , ,"(42.372030445599897, -71.139236594099899)"
8 ELLERY SQ,135-132,135,132,825,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3721223006999, -71.109375861399897)"
724 CAMBRIDGE ST,37-18,37,18,1486,104,Mixed Use Residential,MXD TWO-FAM-RES,groundfloor,2, , , , ,"(42.372026071699899, -71.0888961373999)"
535-555 CAMBRIDGE ST,35-53,35,53,5935,13,Mixed Use Residential,MULTIUSE-RES,mixed,4, , ,YES, ,"(42.371938200000002, -71.085152812600001)"
20 FAYETTE ST,114-119,114,119,4074,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.372028705399899, -71.103338174499896)"
112 GORE ST,23-25,23,25,2250,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.3719993327, -71.082829382300005)"
69 MT AUBURN ST,160-77,160,77,4369,345,Office,RETAIL-OFFIC, ,0, , , , ,"(42.3720545778, -71.118274550699894)"
25 THIRD ST,21-38,21,38,1710,111,Residential,4-8-UNIT-APT, ,5, , ,YES, ,"(42.371930547799899, -71.079757098599899)"
58.5 TREMONT ST,84-93,84,93,1660,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372051133299898, -71.098162595000005)"
101 INMAN ST,114A-79,114A,79,3610,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372031954500002, -71.101848393200001)"
16 THIRD ST,20-17,20,17,1200,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372014882899897, -71.079419369299899)"
569 CAMBRIDGE ST,35-33,35,33,2178,104,Mixed Use Residential,MXD TWO-FAM-RES,groundfloor,2, , , , ,"(42.3719723918, -71.085711183800001)"
65 WINTHROP ST,162-48,162,48,2709,942,Higher Education,Private College, ,0, , , ,Educ NonTax,"(42.372068784500001, -71.119912247499897)"
9 SIXTH ST,35-47,35,47,1610,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372018614399899, -71.084928037400005)"
381 HARVARD ST,135-22,135,22,7173,111,Residential,4-8-UNIT-APT, ,5, , , , ,"(42.371955510200003, -71.112799672899897)"
406 BROADWAY,115-86,115,86,6031,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.371995728000002, -71.108262874800005)"
88 WILLOW ST,80-62,80,62,2016,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372013047499898, -71.092383794699899)"
108 GORE ST,23-26,23,26,6280,111,Residential,4-8-UNIT-APT, ,4, , ,YES, ,"(42.371901025600003, -71.082614777200007)"
65 MT AUBURN ST,160-53,160,53,3333,112,Mixed Use Residential,MXD >8-UNIT-APT,groundfloor,30, , , , ,"(42.372048743500002, -71.118029773800004)"
124 AMORY ST,110-47,110,47,2753,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372012399299898, -71.100099027799899)"
9 ELLERY SQ,135-133,135,133,901,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3720858772, -71.109409331199899)"
48 DUNSTER ST,162-10,162,10,4255,942,Higher Education,Private College, ,0, , , , ,"(42.372041058100002, -71.119301722900005)"
561 CAMBRIDGE ST,35-32,35,32,2048,111,Mixed Use Residential,MXD 4-8-UNIT-AP,groundfloor,4, , , , ,"(42.371949892700002, -71.085601484799895)"
37 GORE ST,20-14,20,14,4824,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.371866219200001, -71.079244504100004)"
107-109 AMORY ST,110-29,110,29,5250,111,Residential,4-8-UNIT-APT, ,4, , ,YES, ,"(42.3719674427999, -71.1006948381999)"
24 SEVENTH ST,35-97,35,97,1005,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372001189999899, -71.085335479400001)"
65 GORE ST,21-112,21,112,1330,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3719647028, -71.080629201500003)"
59-61 TREMONT ST,84-94,84,94,2090,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372002301899897, -71.098002482200002)"
65 ANTRIM ST,114-122,114,122,4129,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.371979178300002, -71.102894906200007)"
365 COLUMBIA ST,80-10,80,10,4000,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3719644606999, -71.095327062699894)"
76 ANTRIM ST,114-52,114,52,2972,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.371989251700001, -71.102292759099896)"
28 SEVENTH ST,35-99,35,99,299,132,Vacant Residential,RES-UDV-LAND, ,0, , , , ,"(42.371971695200003, -71.085241139000004)"
17 FAYETTE ST,113-67,113,67,9719,111,Residential,4-8-UNIT-APT, ,8, , , , ,"(42.371915911499897, -71.104145192399898)"
192 MONSIGNOR OBRIEN HWY,20-80,20,80,1138,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.371936189800003, -71.078900336700002)"
102 GORE ST,23-27,23,27,3000,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3718712424999, -71.082441979500004)"
33 FIFTH ST,23-10,23,10,1800,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.371961511599899, -71.083217583000007)"
694 CAMBRIDGE ST,37-100,37,100,4214,960,Charitable/Religious,Religious, ,0, , , ,Religious NonTax,"(42.3719487462999, -71.088298731199899)"
174-168 HAMPSHIRE ST,87-37,87,37,10165,112,Residential,>8-UNIT-APT, ,11, , , , ,"(42.371834031399899, -71.098962340599897)"
20 THIRD ST,20-16,20,16,2400,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.371932030899899, -71.0794354449)"
12 MAPLE AVE,113-65,113,65,7282,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3719276518, -71.104738724699899)"
144 COOLIDGE HILL,242A-127,242A,127,10819,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3720593088999, -71.139716771500005)"
10 SIXTH ST,23-22,23,22,1187,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.371970738000002, -71.084533178000001)"
379 HARVARD ST,135-21,135,21,7000,111,Residential,4-8-UNIT-APT, ,7, , , , ,"(42.3719079886, -71.112619323499899)"
217 ELM ST,85-39,85,39,2990,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.371959421699898, -71.096206289799895)"
465-473 CAMBRIDGE ST,23-17,23,17,6500,111,Mixed Use Residential,MXD 4-8-UNIT-AP,groundfloor,4, , , , ,"(42.3717987214999, -71.084022223000005)"
678 CAMBRIDGE ST,34-144,34,144,3654,112,Mixed Use Residential,MXD >8-UNIT-APT, ,0, , , , ,"(42.371685691300002, -71.087823216399897)"
31 GORE ST,20-93,20,93,3340,111,Residential,4-8-UNIT-APT, ,8, , , , ,"(42.3718129365, -71.079013842899897)"
439 CARDINAL MEDEIROS AVE,37-21,37,21,1546,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.371890421499899, -71.088849425700005)"
39-41 DANA ST,135-51,135,51,8000,111,Residential,4-8-UNIT-APT, ,6, , ,YES, ,"(42.371875210699898, -71.109216669099894)"
53 DUNSTER ST,162-7,162,7,4138,942,Higher Education,Private College, ,0, , , ,Educ NonTax,"(42.371949755300001, -71.1197466136)"
5X ELLERY PL,135-152,135,152,1024,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.371973077500002, -71.110826412099897)"
674 CAMBRIDGE ST,34-127,34,127,4426,112,Mixed Use Residential,MXD >8-UNIT-APT,groundfloor,12, , , , ,"(42.371854370000001, -71.087603316200003)"
13 SIXTH ST,35-49,35,49,1610,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3718922187999, -71.084959857499896)"
61 ANTRIM ST,114-123,114,123,4220,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.371884505799898, -71.1029729973)"
57 TREMONT ST,84-71,84,71,2408,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.3719026021, -71.098074522900006)"
359-361 COLUMBIA ST,80-11,80,11,3450,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.371867585700002, -71.095382403399896)"
12 ELLERY SQ,135-136,135,136,2099,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.371929819000002, -71.109497693999899)"
76 MT AUBURN ST,162-62,162,62,7622,942,Mixed Use Education,Higher Ed and Comm Mixed,groundfloor,0, , , , ,"(42.371879869499899, -71.118889171600003)"
463 CAMBRIDGE ST,23-16,23,16,5000,112,Residential,>8-UNIT-APT, ,10, , , , ,"(42.371770701800003, -71.083815534699895)"
5 CLEVELAND ST,135-57,135,57,3500,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.371892291800002, -71.109869518699895)"
43-49 ELLERY ST,135-35,135,35,4092,111,Residential,4-8-UNIT-APT, ,4, , , , ,"(42.371898212799898, -71.110554881599896)"
25 GORE ST,20-12,20,12,3265,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.371783258199898, -71.078851050799898)"
103 AMORY ST,110-30,110,30,5229,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.371846994899897, -71.100780206799897)"
33 SCIARAPPA ST,23-34,23,34,1500,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.371839082100003, -71.081518202799899)"
33 GORE ST,20-105,20,105,1140,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.371804443099897, -71.079122658399896)"
41 GORE ST,20-15,20,15,2400,111,Mixed Use Residential,MXD 4-8-UNIT-AP,groundfloor,5, , , , ,"(42.371818835200003, -71.079458699100002)"
80 WILLOW ST,80-64,80,64,2355,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.371852168399897, -71.092422722400002)"
4 ELLERY PL,135-151,135,151,1024,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.371933733699898, -71.110855452799896)"
97 INMAN ST,114-81,114,81,5859,111,Residential,4-8-UNIT-APT, ,4, , , , ,"(42.371829899600002, -71.101993870900003)"
453 CAMBRIDGE ST,23-15,23,15,2500,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.371752581700001, -71.083680031499895)"
13 GOODMAN RD,115-88,115,88,4485,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.371860577900001, -71.108357115399897)"
400 CARDINAL MEDEIROS AVE,37-98,37,98,54034,960,Charitable/Religious,Religious, ,0, , , ,Religious NonTax,"(42.371380496699899, -71.088474708199897)"
648 CAMBRIDGE ST,34-116,34,116,4908,340,Office,GEN-OFFICE, ,0, , , , ,"(42.371750245400001, -71.087298501299898)"
400 HARVARD ST,134-2,134,2,34795,960,Charitable/Religious,Religious, ,0, , , ,Religious NonTax,"(42.371600422, -71.114193079100005)"
34 FIFTH ST,23-52,23,52,1570,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.371829752099899, -71.082845608)"
112 AMORY ST,110-105,110,105,2877,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.371852668000002, -71.1002433913999)"
209 ELM ST,85-90,85,90,2296,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3718345083999, -71.096378064099895)"
142R BERKSHIRE ST,37-94,37,94,2241,132,Vacant Residential,RES-UDV-LAND, ,0, , , , ,"(42.371784469799898, -71.089611863000002)"
447 CAMBRIDGE ST,23-125,23,125,2905,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.371739400300001, -71.083577485099894)"
54 JFK ST,162-73,162,73,4090,345,Office,RETAIL-OFFIC, ,0, , , , ,"(42.371888713399898, -71.1204321835)"
404 BROADWAY,115-81,115,81,5618,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.371810280299897, -71.107909982699894)"
36 SCIARAPPA ST,21-4,21,4,1290,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.371811612800002, -71.081198181000005)"
9 BOW ST,133-3,133,3,40790,942,Higher Education,Private College, ,0, , , ,Educ NonTax,"(42.371741007700003, -71.116232525200004)"
527 CAMBRIDGE ST,35-52,35,52,976,105,Mixed Use Residential,MXD THREE-FM-RE,groundfloor,3, , , , ,"(42.371827612499899, -71.085048896700002)"
42 DANA ST,115-43,115,43,5396,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.371827146599898, -71.108627597199899)"
437 CARDINAL MEDEIROS AVE,37-115,37,115,1421,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.371825204099899, -71.088854377999894)"
439 CAMBRIDGE ST,23-126,23,126,2380,104,Mixed Use Residential,MXD TWO-FAM-RES,groundfloor,2, , , , ,"(42.371725852200001, -71.083477678099896)"
1208-1210 MASSACHUSETTS AVE,133-15,133,15,3118,345,Office,RETAIL-OFFIC, ,0, , , , ,"(42.371861906500001, -71.115415042699894)"
642 CAMBRIDGE ST,34-2,34,2,1755,101,Mixed Use Residential,MXD SNGL-FAM-RE,groundfloor,1, , , , ,"(42.371782338800003, -71.087146136300007)"
216 ELM ST,80-162,80,162,1901,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.371827371000002, -71.095865209899898)"
3 ELLERY PL,135-150,135,150,1024,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.371894392000002, -71.110882221799898)"
523 CAMBRIDGE ST,35-51,35,51,620,104,Mixed Use Residential,MXD TWO-FAM-RES,groundfloor,2, , , , ,"(42.371816156999898, -71.084955822699897)"
7-9 CLEVELAND ST,135-56,135,56,4200,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.371824396000001, -71.109685957899899)"
435 CAMBRIDGE ST,23-127,23,127,1947,104,Mixed Use Residential,MXD TWO-FAM-RES,groundfloor,2, , , , ,"(42.371692170000003, -71.083400455900005)"
136 BERKSHIRE ST,37-112,37,112,3122,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.371786087399897, -71.089814536099894)"
100 INMAN ST,110-87,110,87,16490,404,Office/R&D,RES-&-DEV-FC, ,0, , , , ,"(42.371687599700003, -71.101378230400002)"
16 FAYETTE ST,114-6,114,6,8058,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.371765561099899, -71.103542519800001)"
21 MARCELLA ST,37-58,37,58,3728,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3716878303999, -71.089555844800003)"
52 DUNSTER ST,162-49,162,49,6075,942,Higher Education,Private College, ,0, , , ,Educ NonTax,"(42.371825517700003, -71.119372453799897)"
43 FIFTH ST,23-12,23,12,2340,111,Residential,4-8-UNIT-APT, ,4, , , , ,"(42.371783429399898, -71.083259647099894)"
40 SCIARAPPA ST,21-2,21,2,4220,960,Charitable/Religious,Religious, ,0, , , ,Religious NonTax,"(42.371624455800003, -71.081176361700003)"
15 FAYETTE ST,113-69,113,69,6415,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.371770590099899, -71.1042737090999)"
519 CAMBRIDGE ST,35-50,35,50,620,104,Mixed Use Residential,MXD TWO-FAM-RES,groundfloor,2, , , , ,"(42.371807970600003, -71.084884093599896)"
24 PALERMO ST,80-91,80,91,3251,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.3717409295, -71.093120292899897)"
636 CAMBRIDGE ST,34-3,34,3,1495,111,Mixed Use Residential,MXD 4-8-UNIT-AP,groundfloor,5, , , , ,"(42.371768962399898, -71.087054385599899)"
56 WINTHROP ST,162-31,162,31,13690,960,Charitable/Religious,Religious, ,0, , , ,Religious NonTax,"(42.371760373400001, -71.120014334299896)"
74 GORE ST,21-5,21,5,5300,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.3716820414, -71.080953188099897)"
163 HAMPSHIRE ST,84-48,84,48,4109,112,Mixed Use Residential,MXD >8-UNIT-APT,groundfloor,9, , , , ,"(42.3717832074, -71.098159537499896)"
166 HAMPSHIRE ST,87-39,87,39,966,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.371805360800003, -71.098778412200005)"
442-448 WINDSOR ST,80-120,80,120,4977,111,Residential,4-8-UNIT-APT, ,6, , ,YES, ,"(42.371751522700002, -71.093379096899895)"
55 ANTRIM ST,114-26,114,26,5000,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.371773460299899, -71.103049326900006)"
36 TROWBRIDGE ST,135-88,135,88,5993,111,Residential,4-8-UNIT-APT, ,5, , , , ,"(42.371801011099897, -71.111492255800002)"
357 COLUMBIA ST,80-12,80,12,3450,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.371778773800003, -71.095430085700002)"
389 BROADWAY,112-110,112,110,7500,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.371697819700003, -71.106172004200005)"
142R BERKSHIRE ST,37-109,37,109,2106,132,Vacant Residential,RES-UDV-LAND, ,0, , , , ,"(42.371727053400001, -71.089427055599899)"
2 ELLERY PL,135-149,135,149,1024,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.371854873700002, -71.1109080855)"
70 GORE ST,21-81,21,81,1897,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.371704528899897, -71.0807920268999)"
18-20 PALERMO ST,80-151,80,151,2435,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.371708204100003, -71.093021436200004)"
